Mouse,Date,Trial Type,Neuron1,Neuron2,Angular Difference,Inhibitory Population,Normalization Index (NI) Neuron1,Normalization Index (NI) Neuron2,OSI Neuron1,OSI Neuron2,Exc-Exc Noise Correlation,Exc-Red Noise Correlation,Red-Red Noise Correlation
30N,62924,Grating,5,6,0.0,SST,0.4059920426721453,0.2483767703573141,0.359637859394149,0.2556881230453111,0.0086169431491258,,
30N,62924,Grating,5,7,0.0,SST,0.4059920426721453,-0.2837675635681971,0.359637859394149,0.2594447394160984,0.0148199825382942,,
30N,62924,Grating,5,8,0.0,SST,0.4059920426721453,0.444624935972062,0.359637859394149,0.1797153259287722,0.0046739744182151,,
30N,62924,Grating,5,9,135.0,SST,0.4059920426721453,0.4632259742351371,0.359637859394149,0.2999796309564465,0.0188001056530619,,
30N,62924,Grating,5,10,0.0,SST,0.4059920426721453,0.3243308252905618,0.359637859394149,0.2664003535309552,-0.0034237491355922,,
30N,62924,Grating,5,11,0.0,SST,0.4059920426721453,0.139959729174956,0.359637859394149,0.2360943618885202,-0.0028763199092011,,
30N,62924,Grating,5,12,157.5,SST,0.4059920426721453,0.6825990889659305,0.359637859394149,0.5925869543837662,-0.0307176294833757,,
30N,62924,Grating,5,13,0.0,SST,0.4059920426721453,0.2839460100331841,0.359637859394149,0.2149367929585471,,-0.0200727868841794,
30N,62924,Grating,5,14,0.0,SST,0.4059920426721453,0.4783517514001817,0.359637859394149,0.1716294472012357,-0.0080372971150932,,
30N,62924,Grating,5,15,45.0,SST,0.4059920426721453,0.0119829758440399,0.359637859394149,0.2129006371669866,-0.0075006846965913,,
30N,62924,Grating,5,16,67.5,SST,0.4059920426721453,-0.0309092172009801,0.359637859394149,0.2450767573698955,-0.0017331180366594,,
30N,62924,Grating,5,17,157.5,SST,0.4059920426721453,0.5583661163371278,0.359637859394149,0.2932251982958356,-0.0090875350454072,,
30N,62924,Grating,5,18,45.0,SST,0.4059920426721453,0.4239245202589358,0.359637859394149,0.2292250708961149,-0.0051628881857526,,
30N,62924,Grating,5,19,157.5,SST,0.4059920426721453,0.1893725397113057,0.359637859394149,0.12705089100795,0.0115423888565388,,
30N,62924,Grating,5,20,157.5,SST,0.4059920426721453,0.3961817661219455,0.359637859394149,0.2916108653204953,-0.0240198438780884,,
30N,62924,Grating,5,21,157.5,SST,0.4059920426721453,0.3537033707402778,0.359637859394149,0.2455825809341067,0.0059744250386627,,
30N,62924,Grating,5,22,0.0,SST,0.4059920426721453,0.4885236292178151,0.359637859394149,0.3251575214770621,0.0072868729921282,,
30N,62924,Grating,5,23,0.0,SST,0.4059920426721453,0.3462866879211442,0.359637859394149,0.2867028457782862,-0.0283116298875905,,
30N,62924,Grating,6,0,22.5,SST,0.2483767703573141,0.5361993787558806,0.2556881230453111,0.1616080488150874,-0.0194563604407983,,
30N,62924,Grating,6,1,157.5,SST,0.2483767703573141,0.67721038325484,0.2556881230453111,0.5110519944316614,0.0003728385116743,,
30N,62924,Grating,6,2,157.5,SST,0.2483767703573141,0.4309085174608593,0.2556881230453111,0.1855950495430517,-0.0052588259190288,,
30N,62924,Grating,6,3,112.5,SST,0.2483767703573141,-0.036003188263396,0.2556881230453111,0.3457462077623844,0.0148081586161076,,
30N,62924,Grating,6,4,112.5,SST,0.2483767703573141,0.4406550218499901,0.2556881230453111,0.1896578437006615,,0.0101275670545628,
30N,62924,Grating,6,5,0.0,SST,0.2483767703573141,0.4059920426721453,0.2556881230453111,0.359637859394149,0.0086169431491258,,
30N,62924,Grating,6,7,0.0,SST,0.2483767703573141,-0.2837675635681971,0.2556881230453111,0.2594447394160984,-0.0146063353069349,,
30N,62924,Grating,6,8,0.0,SST,0.2483767703573141,0.444624935972062,0.2556881230453111,0.1797153259287722,0.0131345754598595,,
30N,62924,Grating,6,9,135.0,SST,0.2483767703573141,0.4632259742351371,0.2556881230453111,0.2999796309564465,0.0093204300741072,,
30N,62924,Grating,6,10,0.0,SST,0.2483767703573141,0.3243308252905618,0.2556881230453111,0.2664003535309552,0.0219748212186722,,
30N,62924,Grating,6,11,0.0,SST,0.2483767703573141,0.139959729174956,0.2556881230453111,0.2360943618885202,0.0042096391436677,,
30N,62924,Grating,6,12,157.5,SST,0.2483767703573141,0.6825990889659305,0.2556881230453111,0.5925869543837662,-0.0056276966982128,,
30N,62924,Grating,6,13,0.0,SST,0.2483767703573141,0.2839460100331841,0.2556881230453111,0.2149367929585471,,-0.0043367456687272,
30N,62924,Grating,6,14,0.0,SST,0.2483767703573141,0.4783517514001817,0.2556881230453111,0.1716294472012357,0.0131336519849949,,
30N,62924,Grating,6,15,45.0,SST,0.2483767703573141,0.0119829758440399,0.2556881230453111,0.2129006371669866,-0.0130280592609222,,
30N,62924,Grating,6,16,67.5,SST,0.2483767703573141,-0.0309092172009801,0.2556881230453111,0.2450767573698955,-0.0230717434935933,,
30N,62924,Grating,6,17,157.5,SST,0.2483767703573141,0.5583661163371278,0.2556881230453111,0.2932251982958356,0.0043879494027851,,
30N,62924,Grating,6,18,45.0,SST,0.2483767703573141,0.4239245202589358,0.2556881230453111,0.2292250708961149,-0.0199311260721485,,
30N,62924,Grating,6,19,157.5,SST,0.2483767703573141,0.1893725397113057,0.2556881230453111,0.12705089100795,0.0106386605856917,,
