Mouse,Date,Neuron,Group,Fano Factor
18S,072024,7,Preferred,5.393492707549534
18S,072024,7,Null,2.701959957785488
18S,072024,7,Plaid,1.1810794629335608
18S,072024,7,Grating,4.720601562545632
18S,072024,7,Plaid Pref/Null,1.1810794629335608
18S,072024,8,Preferred,0.3182959792722402
18S,072024,8,Null,0.30256150557937156
18S,072024,8,Plaid,0.24103846466003379
18S,072024,8,Grating,0.3374056654245191
18S,072024,8,Plaid Pref/Null,0.24103846466003379
18S,072024,9,Preferred,2.4302510047197434
18S,072024,9,Null,1.8426913754285958
18S,072024,9,Plaid,2.262195628253874
18S,072024,9,Grating,1.5381497963152035
18S,072024,9,Plaid Pref/Null,2.262195628253874
18S,072024,10,Preferred,2.132791564066515
18S,072024,10,Null,1.481726051173506
18S,072024,10,Plaid,1.9039652303897756
18S,072024,10,Grating,0.9636482559809774
18S,072024,10,Plaid Pref/Null,1.9039652303897756
18S,072024,11,Preferred,2.120713965588753
18S,072024,11,Null,1.497825544496396
18S,072024,11,Plaid,1.5054941228649739
18S,072024,11,Grating,2.3532650976229594
18S,072024,11,Plaid Pref/Null,1.5054941228649739
18S,072024,12,Preferred,1.6052822018889557
18S,072024,12,Null,0.7238442922663049
18S,072024,12,Plaid,1.1855159767836192
18S,072024,12,Grating,1.162218122341028
18S,072024,12,Plaid Pref/Null,1.1855159767836192
18S,072024,13,Preferred,1.6127859623401695
18S,072024,13,Null,1.4138413402711465
18S,072024,13,Plaid,1.5072475109714047
18S,072024,13,Grating,1.3989436084951947
18S,072024,13,Plaid Pref/Null,1.5072475109714047
18S,072024,14,Preferred,2.9597616382124765
18S,072024,14,Null,1.2986087128569368
18S,072024,14,Plaid,1.8290310144143873
18S,072024,14,Grating,1.6931286715765224
18S,072024,14,Plaid Pref/Null,1.8290310144143873
18S,072024,15,Preferred,0.43902191232827664
18S,072024,15,Null,0.39965404542298066
18S,072024,15,Plaid,0.32707067910094423
18S,072024,15,Grating,0.44544195749307464
18S,072024,15,Plaid Pref/Null,0.32707067910094423
18S,072024,16,Preferred,0.9224612603047505
18S,072024,16,Null,0.29997999228579286
18S,072024,16,Plaid,0.22976090448014544
18S,072024,16,Grating,0.5041146080768344
18S,072024,16,Plaid Pref/Null,0.22976090448014544
18S,072024,17,Preferred,0.40119255462188286
18S,072024,17,Null,0.33899291350293703
18S,072024,17,Plaid,0.34240003883638165
18S,072024,17,Grating,0.3478808693375322
18S,072024,17,Plaid Pref/Null,0.34240003883638165
18S,072024,18,Preferred,0.8475290288751997
18S,072024,18,Null,0.5230265801204187
18S,072024,18,Plaid,0.3606692311586779
18S,072024,18,Grating,0.6449258929595534
18S,072024,18,Plaid Pref/Null,0.3606692311586779
18S,072024,19,Preferred,2.3031614211596985
18S,072024,19,Null,1.6758660088029345
18S,072024,19,Plaid,1.330099911421726
18S,072024,19,Grating,1.9428682209449306
18S,072024,19,Plaid Pref/Null,1.330099911421726
18S,072024,20,Preferred,0.9863653642382327
18S,072024,20,Null,0.5443717055804693
18S,072024,20,Plaid,0.2665472950282281
18S,072024,20,Grating,0.8154783513828318
18S,072024,20,Plaid Pref/Null,0.2665472950282281
18S,072024,21,Preferred,0.304961709346801
18S,072024,21,Null,0.226102171155337
18S,072024,21,Plaid,0.20857457287913592
18S,072024,21,Grating,0.24539691038789813
18S,072024,21,Plaid Pref/Null,0.20857457287913592
18S,072024,22,Preferred,0.7740190708809725
18S,072024,22,Null,0.5200854049002259
18S,072024,22,Plaid,0.5968933799489057
18S,072024,22,Grating,0.5777786109838436
18S,072024,22,Plaid Pref/Null,0.5968933799489057
18S,072024,23,Preferred,0.7127898470636251
18S,072024,23,Null,0.5678848868346575
